JobID|JobName|State|Submit|Start|End|Elapsed|ExitCode|NodeList|AllocTRES
1299664|MTO11_prepare|COMPLETED|2026-09-21T13:36:48|2026-09-21T14:18:14|2026-09-21T14:20:41|00:02:27|0:0|g0030|billing=8,cpu=8,gres/gpu=1,mem=124400M,node=1
1299664.batch|batch|COMPLETED|2026-09-21T14:18:14|2026-09-21T14:18:14|2026-09-21T14:20:41|00:02:27|0:0|g0030|cpu=8,gres/gpu=1,mem=124400M,node=1
1299664.extern|extern|COMPLETED|2026-09-21T14:18:14|2026-09-21T14:18:14|2026-09-21T14:20:41|00:02:27|0:0|g0030|billing=8,cpu=8,gres/gpu=1,mem=124400M,node=1
1299666|MTO11_report|FAILED|2026-09-21T13:36:48|2026-09-21T14:41:17|2026-09-21T14:41:52|00:00:35|1:0|g0030|billing=8,cpu=8,gres/gpu=1,mem=124400M,node=1
1299666.batch|batch|FAILED|2026-09-21T14:41:17|2026-09-21T14:41:17|2026-09-21T14:41:52|00:00:35|1:0|g0030|cpu=8,gres/gpu=1,mem=124400M,node=1
1299666.extern|extern|COMPLETED|2026-09-21T14:41:17|2026-09-21T14:41:17|2026-09-21T14:41:52|00:00:35|0:0|g0030|billing=8,cpu=8,gres/gpu=1,mem=124400M,node=1
1299668|MTO11_report|CANCELLED by 1893|2026-09-21T13:36:48|None|2026-09-21T14:43:50|00:00:00|0:0|None assigned|
1299670|MTO11_report|CANCELLED by 1893|2026-09-21T13:36:48|None|2026-09-21T14:43:50|00:00:00|0:0|None assigned|
1299665_0|MTO11_AB|COMPLETED|2026-09-21T13:36:48|2026-09-21T14:20:45|2026-09-21T14:41:01|00:20:16|0:0|g0030|billing=8,cpu=8,gres/gpu=1,mem=124400M,node=1
1299665_0.batch|batch|COMPLETED|2026-09-21T14:20:45|2026-09-21T14:20:45|2026-09-21T14:41:01|00:20:16|0:0|g0030|cpu=8,gres/gpu=1,mem=124400M,node=1
1299665_0.extern|extern|COMPLETED|2026-09-21T14:20:45|2026-09-21T14:20:45|2026-09-21T14:41:01|00:20:16|0:0|g0030|billing=8,cpu=8,gres/gpu=1,mem=124400M,node=1
1299665_1|MTO11_AB|COMPLETED|2026-09-21T13:36:48|2026-09-21T14:20:45|2026-09-21T14:27:44|00:06:59|0:0|g0044|billing=8,cpu=8,gres/gpu=1,mem=124400M,node=1
1299665_1.batch|batch|COMPLETED|2026-09-21T14:20:45|2026-09-21T14:20:45|2026-09-21T14:27:44|00:06:59|0:0|g0044|cpu=8,gres/gpu=1,mem=124400M,node=1
1299665_1.extern|extern|COMPLETED|2026-09-21T14:20:45|2026-09-21T14:20:45|2026-09-21T14:27:44|00:06:59|0:0|g0044|billing=8,cpu=8,gres/gpu=1,mem=124400M,node=1
1299667_0|MTO11_AB|COMPLETED|2026-09-21T13:36:48|2026-09-21T18:59:15|2026-09-21T20:06:55|01:07:40|0:0|g0041|billing=8,cpu=8,gres/gpu=1,mem=124400M,node=1
1299667_0.batch|batch|COMPLETED|2026-09-21T18:59:15|2026-09-21T18:59:15|2026-09-21T20:06:55|01:07:40|0:0|g0041|cpu=8,gres/gpu=1,mem=124400M,node=1
1299667_0.extern|extern|COMPLETED|2026-09-21T18:59:15|2026-09-21T18:59:15|2026-09-21T20:06:55|01:07:40|0:0|g0041|billing=8,cpu=8,gres/gpu=1,mem=124400M,node=1
1299667_1|MTO11_AB|COMPLETED|2026-09-21T13:36:48|2026-09-21T19:19:58|2026-09-21T19:59:19|00:39:21|0:0|g0024|billing=8,cpu=8,gres/gpu=1,mem=124400M,node=1
1299667_1.batch|batch|COMPLETED|2026-09-21T19:19:58|2026-09-21T19:19:58|2026-09-21T19:59:19|00:39:21|0:0|g0024|cpu=8,gres/gpu=1,mem=124400M,node=1
1299667_1.extern|extern|COMPLETED|2026-09-21T19:19:58|2026-09-21T19:19:58|2026-09-21T19:59:20|00:39:22|0:0|g0024|billing=8,cpu=8,gres/gpu=1,mem=124400M,node=1
1299669_0|MTO11_AB|COMPLETED|2026-09-21T13:36:48|2026-09-21T20:08:17|2026-09-22T12:04:49|15:56:32|0:0|g0041|billing=8,cpu=8,gres/gpu=1,mem=124400M,node=1
