scale,cohort,seed,arm,parameters,best_epoch,validation_mse,mse,mae,cosine,pearson,global_rmse,mean_molecule_rmse,source_mse,source_global_rmse,source_mae
1k,within_scale,11,baseline,179057,23,0.31677256445866075,0.4602605968154967,0.2268746304884553,0.8215245988965034,0.7861652639508248,0.6784250856325234,0.5411054031550884,0.000278497115919617,0.016688232857903707,0.0055807733872520835
1k,within_scale,11,mto,178972,21,0.2770827398262918,0.4710049956967123,0.21669841773808002,0.8221274238824844,0.7877418245375156,0.686298037077706,0.536411605514586,0.0002849983982831559,0.016881895577308726,0.005330453917075802
1k,within_scale,23,baseline,179057,16,0.2995352554414421,0.501273574763909,0.22749362874776125,0.813671540915966,0.7773314653337002,0.7080067618066292,0.5663650403171778,0.0003033134833274192,0.017415897431008808,0.005595999809901687
1k,within_scale,23,mto,178972,31,0.2698917439300567,0.41200819524005056,0.2169945454597473,0.8439629837870598,0.813890949189663,0.6418786452594062,0.5147356783598661,0.00024930027663349437,0.015789245600518552,0.005337738211951568
1k,within_scale,37,baseline,179057,15,0.3094485727418214,0.4630407361499965,0.24009009972214698,0.8118080919981003,0.7746298977732659,0.6804709664269274,0.5473569473624229,0.0002801793385384332,0.016738558436688426,0.005905853978416675
1k,within_scale,37,mto,178972,16,0.2921101137739606,0.44818322712555525,0.21756517263129355,0.833841940164566,0.8018706806004048,0.6694648811741772,0.5151228391379118,0.0002711892719507534,0.016467825355849307,0.005351774778870276
1k,within_scale,53,baseline,179057,21,0.29568673493340614,0.4509791166568175,0.2230282112210989,0.8240366658568382,0.789426119029522,0.6715497871765113,0.5286197078973055,0.0002728810247887625,0.016519110895831003,0.0054861572803861
1k,within_scale,53,mto,178972,23,0.30404359286651017,0.4289152309391648,0.23282122194767,0.8239935620129109,0.7894699869304895,0.654916201463336,0.5268087999522686,0.00025953048255060186,0.016109949799754247,0.005727050559314011
1k,within_scale,71,baseline,179057,31,0.3039111373014748,0.46624296105001123,0.22687542669475078,0.8103571572899818,0.7729434424638748,0.6828198598825398,0.5444573826342821,0.00028211695910676006,0.01679633766946712,0.005580792972724884
1k,within_scale,71,mto,178972,46,0.26877410513348876,0.41902061983942984,0.21235356252640486,0.8535265731811523,0.8260544550418853,0.6473180206354755,0.5062464537471533,0.00025354339464108214,0.01592304602270188,0.005223577038490587
1k,common_fresh_test,11,baseline,179057,23,0.31677256445866075,0.6003878944986145,0.23370816372769004,0.8088598192377336,0.7699185566550504,0.7748470136088894,0.5523098437727558,0.0003632861431280482,0.019060066713630575,0.00574886798804688
1k,common_fresh_test,11,mto,178972,21,0.2770827398262918,0.5600116751845617,0.2126467702803239,0.829339665633765,0.7949067390401816,0.7483392781249436,0.5208662339188569,0.0003388550692787931,0.01840801644063784,0.005230789506568152
1k,common_fresh_test,23,baseline,179057,16,0.2995352554414421,0.5966794025002813,0.22809745484049532,0.8081289894117255,0.7686458015404971,0.7724502589165734,0.5488207663658411,0.00036104218756658445,0.019001110166687218,0.005610853020159721
1k,common_fresh_test,23,mto,178972,31,0.2698917439300567,0.5437833634169896,0.2212214737187817,0.8274033123101239,0.7925009468512262,0.7374166823560405,0.522092440617134,0.0003290355495224127,0.01813933707505356,0.0054417142655414094
1k,common_fresh_test,37,baseline,179057,15,0.3094485727418214,0.5741534550685002,0.2443483203793625,0.8063073342751972,0.7663580791581858,0.7577291436050881,0.5522445959358926,0.000347412058382133,0.018638992955150046,0.00601059977775824
1k,common_fresh_test,37,mto,178972,16,0.2921101137739606,0.5652490296333968,0.21908581268050428,0.8266537329675396,0.7919115145136315,0.7518304527174973,0.51871533519103,0.0003420241176812442,0.01849389406483243,0.005389180228302652
1k,common_fresh_test,53,baseline,179057,21,0.29568673493340614,0.5867450264999988,0.23102702629642932,0.8135853344577464,0.7748412605038772,0.7659928371075012,0.5373195666178577,0.00035503103848347315,0.018842267339242196,0.0056829160550708096
1k,common_fresh_test,53,mto,178972,23,0.30404359286651017,0.5573609006372019,0.23230550137008613,0.8234152193937184,0.7874202445185914,0.7465660725195071,0.5284210752718369,0.0003372511234457137,0.018364398259831816,0.0057143646117118405
1k,common_fresh_test,71,baseline,179057,31,0.3039111373014748,0.5933484848576064,0.2347203788815012,0.8017360971366974,0.760921536064878,0.7702911688820056,0.5522015646336745,0.0003590266968570406,0.01894799981151152,0.005773766952644202
1k,common_fresh_test,71,mto,178972,46,0.26877410513348876,0.5860466539718489,0.22362644292187905,0.8315856078658724,0.7985660246218843,0.7655368403753335,0.5245704805420291,0.0003546084632374648,0.018831050508069505,0.005500872877048171
