id,identity,seed,arm,within_scale_test,common_fresh_test,mse,rmse,mae,cosine,pearson,source_mse,source_mae
12,NC=O,11,baseline,True,True,1.0951883792877197,1.046512484550476,0.38248008489608765,0.8999646306037903,0.8859151601791382,0.000691796552182231,0.009612881975827766
14,CCO,11,baseline,True,True,0.3143370449542999,0.5606576800346375,0.2364892214536667,0.678248405456543,0.6188061833381653,0.00019855696794734423,0.00594368978716138
36,CNC=O,11,baseline,True,True,0.1413954198360443,0.37602582573890686,0.16796182096004486,0.9817042350769043,0.9781097173690796,8.931510394636572e-05,0.004221388838513461
41,CCOC,11,baseline,True,True,0.16961480677127838,0.4118431806564331,0.19249150156974792,0.8694754838943481,0.8376238942146301,0.00010714041597093983,0.004837893942746245
51,c1c[nH]cn1,11,baseline,True,True,0.3592899441719055,0.599407970905304,0.23943272233009338,0.8231180906295776,0.7918593287467957,0.00022695232100026862,0.006017668871663316
63,C#CC(C)C,11,baseline,True,True,0.06172838434576988,0.24845197796821594,0.11305564641952515,0.9767794609069824,0.9727046489715576,3.899190702695035e-05,0.002841430517949895
64,CC(C)C#N,11,baseline,True,True,0.12801699340343475,0.3577946424484253,0.1393280178308487,0.8668136596679688,0.8419083952903748,8.086436665336941e-05,0.0035017347156724474
89,N=C1CCO1,11,baseline,True,True,0.03007238171994686,0.17341390252113342,0.07033764570951462,0.9768572449684143,0.9716649651527405,1.899579139371212e-05,0.0017677978889981902
101,CC1CC1O,11,baseline,True,True,0.008478537201881409,0.09207897633314133,0.04116100072860718,0.9761000275611877,0.9720036387443542,5.355629145394191e-06,0.0010345005077024047
137,COCCO,11,baseline,True,True,0.04197831079363823,0.20488609373569489,0.07629524916410446,0.9398624897003174,0.9264350533485413,2.65163977473539e-05,0.001917530492418091
138,OCCCO,11,baseline,True,True,0.03305414319038391,0.1818079799413681,0.07415153086185455,0.9383598566055298,0.9298964738845825,2.087927769039812e-05,0.0018636523642678402
151,CCN1CC1,11,baseline,True,True,0.040281206369400024,0.2007017880678177,0.07902247458696365,0.9680695533752441,0.9593088030815125,2.5444389486871106e-05,0.0019860739202897538
169,c1cn[nH]n1,11,baseline,True,True,0.6553563475608826,0.8095408082008362,0.28368255496025085,0.983919620513916,0.9820694923400879,0.0004139682909968602,0.007129801072322601
179,CC(CO)=NO,11,baseline,True,True,0.08763667941093445,0.29603493213653564,0.11817838251590729,0.9678003787994385,0.9625610113143921,5.535737395297595e-05,0.002970180378223569
198,Oc1ccc[nH]1,11,baseline,True,True,0.07261466979980469,0.26947107911109924,0.11931799352169037,0.9455342888832092,0.9394327998161316,4.5868436111445265e-05,0.002998822251433578
199,Oc1cnc[nH]1,11,baseline,True,True,0.024388553574681282,0.15616834163665771,0.06624560058116913,0.9815817475318909,0.9782319068908691,1.5405493333164443e-05,0.0016649524117775052
201,Cc1cc[nH]c1,11,baseline,True,True,4.941081523895264,2.2228543758392334,0.6554878950119019,0.8650373220443726,0.8442820310592651,0.0031211280423785953,0.016474394406822745
202,Cc1c[nH]cn1,11,baseline,True,True,0.17591683566570282,0.4194244146347046,0.16524791717529297,0.8704966306686401,0.843894362449646,0.00011112121228266757,0.00415318022372072
207,Nc1ccoc1,11,baseline,True,True,0.06711552292108536,0.259066641330719,0.10956469178199768,0.9930726885795593,0.9919242858886719,4.239479548250076e-05,0.0027536922637538966
208,Nc1cocn1,11,baseline,True,True,0.06382058560848236,0.2526273727416992,0.10488342493772507,0.9929620027542114,0.9920533299446106,4.031348571367559e-05,0.002636037861738236
211,Oc1cocn1,11,baseline,True,True,0.06491424888372421,0.2547827661037445,0.10180746763944626,0.989965558052063,0.9883455038070679,4.100431890490494e-05,0.0025587297465220578
216,c1cnccn1,11,baseline,True,True,2.264416217803955,1.5047976970672607,0.5079474449157715,0.986587405204773,0.9848028421401978,0.0014303615357945292,0.012766256416265852
217,c1cncnc1,11,baseline,True,True,0.23000197112560272,0.479585200548172,0.17885781824588776,0.99627685546875,0.9957944750785828,0.00014528511590242835,0.004495238223236862
265,CCOC(C)=O,11,baseline,True,True,0.2792143225669861,0.5284073352813721,0.20485351979732513,0.8851994276046753,0.8660150766372681,0.0001763710328969742,0.005148588870135775
