scale,cohort,seed,arm,parameters,best_epoch,validation_mse,mse,mae,cosine,pearson,global_rmse,mean_molecule_rmse,source_mse,source_global_rmse,source_mae
full,within_scale,11,baseline,179057,135,0.10567125298007199,0.11886405707619477,0.09913335312742189,0.9467086930552083,0.936386072122368,0.3447666704833789,0.24996637726621537,7.508274048450315e-05,0.008665029745159744,0.002491521156561296
full,within_scale,11,mto,178972,120,0.09577027089568307,0.11227642815063632,0.0942313854354479,0.9515023892697998,0.9420483113209531,0.33507674964198325,0.23551821537876907,7.09215394857113e-05,0.008421492711254419,0.002368319874368868
full,within_scale,23,baseline,179057,127,0.10476267998189955,0.11633531884758981,0.09973024734571842,0.945942112433744,0.9354067269044524,0.34107963710487,0.25049422330474125,7.348541492754457e-05,0.008572363438839057,0.002506522914558964
full,within_scale,23,mto,178972,111,0.09375903075678213,0.1053950614507348,0.09493952010411792,0.9521032937051372,0.9427706845884554,0.32464605565251337,0.23605556812462403,6.657479343971182e-05,0.008159337806446785,0.002386117441514792
full,within_scale,37,baseline,179057,100,0.10555219544683546,0.12098106306243259,0.10023402934721684,0.9456421989354337,0.9350162393288437,0.347823321619515,0.2514895008195261,7.641998754621957e-05,0.00874185263809792,0.002519184480776892
full,within_scale,37,mto,178972,126,0.09541099309806546,0.10508028269437551,0.09337980061022504,0.9517521528101893,0.9423728732239149,0.32416089013694344,0.23458652049801235,6.637595745636146e-05,0.008147144128856532,0.0023469169706869745
full,common_fresh_test,11,baseline,179057,135,0.10567125298007199,0.11896937808884041,0.09909937191988676,0.9467355679452688,0.9364174116725218,0.34491937911465687,0.24991005421896098,7.514926850360793e-05,0.008668867775183097,0.002490667105983682
full,common_fresh_test,11,mto,178972,120,0.09577027089568307,0.1124744004124083,0.09423646843892777,0.9514627628154556,0.9419986242526807,0.3353720328417507,0.23555533673092827,7.104659242702416e-05,0.008428914071636047,0.002368447625628252
full,common_fresh_test,23,baseline,179057,127,0.10476267998189955,0.11642283337120603,0.09970884749259153,0.9459440534292299,0.9354068494079374,0.341207903441884,0.2504271915860599,7.354069513946843e-05,0.008575587160041488,0.0025059850714907036
full,common_fresh_test,23,mto,178972,111,0.09375903075678213,0.10548963442058534,0.09490877408955314,0.9521295021289399,0.9428000818195506,0.32479167849651774,0.23600257248819542,6.663453225333472e-05,0.00816299774919329,0.0023853447011267046
full,common_fresh_test,37,baseline,179057,100,0.10555219544683546,0.1211992831838882,0.10025122457031836,0.9456087796751648,0.9349721281187219,0.3481368742088206,0.25153593817201736,7.655783043288165e-05,0.008749733163524568,0.00251961664876877
full,common_fresh_test,37,mto,178972,126,0.09541099309806546,0.10519646113178771,0.09336425268740307,0.9517214736995702,0.9423345637652275,0.32434003935960126,0.23459304478726975,6.644934377414904e-05,0.008151646690954474,0.002346526204336101
